Name,Unit,Query,Min/max,Min/max clusters,Bloom filter,Dictionary
Partitions scanned,,1,1,1,1,1
Partitions scanned,,2,2,1,1,1
Partitions scanned,,3,1,1,1,1
Partitions scanned,,4,1,1,1,1
Partitions scanned,,5,1,1,1,1
Partitions scanned,,6,1,1,1,1
Partitions scanned,,7,2,2,2,2
Partitions scanned,,8,1,1,1,1
Partitions scanned,,9,1,1,1,1
Partitions scanned,,10,1,1,1,1
Partitions scanned,,11,1,1,1,1
Partitions scanned,,12,1,1,1,1
Partitions scanned,,13,1,1,1,1
Partitions scanned,,14,1,1,1,1
Partitions scanned,,15,1,1,1,1
Partitions scanned,,16,1,1,1,1
Partitions scanned,,17,1,1,1,1
Partitions scanned,,18,1,1,1,1
Partitions scanned,,19,1,1,1,1
Partitions scanned,,20,1,1,1,1
Partitions scanned,,21,1,1,1,1
Partitions scanned,,22,1,1,1,1
Partitions scanned,,23,1,1,1,1
Partitions scanned,,24,1,1,1,1
Partitions scanned,,25,1,1,1,1
Partitions scanned,,26,1,1,1,1
Partitions scanned,,27,1,1,1,1
Partitions scanned,,28,1,1,1,1
Partitions scanned,,29,1,1,1,1
Partitions scanned,,30,1,1,1,1
Partitions scanned,,31,1,1,1,1
Partitions scanned,,32,1,1,1,1
Partitions scanned,,33,1,1,1,1
Partitions scanned,,34,1,1,1,1
Partitions scanned,,35,1,1,1,1
Partitions scanned,,36,1,1,1,1
Partitions scanned,,37,1,0,0,0
Partitions scanned,,38,1,1,1,1
Partitions scanned,,39,2,2,2,2
Partitions scanned,,40,1,1,1,1
Partitions scanned,,41,1,1,1,1
Partitions scanned,,42,1,1,1,1
Partitions scanned,,43,1,1,1,1
Partitions scanned,,44,1,1,1,1
Partitions scanned,,45,1,1,1,1
Partitions scanned,,46,1,1,1,1
Partitions scanned,,47,1,1,1,1
Partitions scanned,,48,1,1,1,1
Partitions scanned,,49,1,1,1,1
Partitions scanned,,50,1,1,1,1
Partitions scanned,,51,1,1,1,1
Partitions scanned,,52,1,1,1,1
Partitions scanned,,53,1,1,1,1
Partitions scanned,,54,1,1,1,1
Partitions scanned,,55,1,1,1,1
Partitions scanned,,56,1,1,1,1
Partitions scanned,,57,1,1,1,1
Partitions scanned,,58,2,2,2,2
Partitions scanned,,59,1,1,1,1
Partitions scanned,,60,1,1,1,1
Partitions scanned,,61,1,1,1,1
Partitions scanned,,62,1,0,0,0
Partitions scanned,,63,1,1,1,1
Partitions scanned,,64,1,1,1,1
Partitions scanned,,65,1,1,1,1
Partitions scanned,,66,1,1,1,1
Partitions scanned,,67,1,1,1,1
Partitions scanned,,68,1,1,1,1
Partitions scanned,,69,1,1,1,1
Partitions scanned,,70,1,1,1,1
Partitions scanned,,71,1,1,1,1
Partitions scanned,,72,1,1,1,1
Partitions scanned,,73,1,1,1,1
Partitions scanned,,74,1,1,1,1
Partitions scanned,,75,1,1,1,1
Partitions scanned,,76,1,1,1,1
Partitions scanned,,77,1,1,1,1
Partitions scanned,,78,1,1,1,1
Partitions scanned,,79,1,1,1,1
Partitions scanned,,80,1,1,1,1
Partitions scanned,,81,1,1,1,1
Partitions scanned,,82,1,1,1,1
Partitions scanned,,83,1,1,1,1
Partitions scanned,,84,1,1,1,1
Partitions scanned,,85,1,1,1,1
Partitions scanned,,86,1,1,1,1
Partitions scanned,,87,1,1,1,1
Partitions scanned,,88,1,1,1,1
Partitions scanned,,89,1,1,1,1
Partitions scanned,,90,1,1,1,1
Partitions scanned,,91,1,1,1,1
Partitions scanned,,92,1,1,1,1
Partitions scanned,,93,1,1,1,1
Partitions scanned,,94,1,1,1,1
Partitions scanned,,95,1,1,1,1
Partitions scanned,,96,1,1,1,1
